location,city,district,neighborhood,room,living_room,area,age,floor,price
afyonkarahisar-merkez-erkmen-cumhuriyet-satilik,afyonkarahisar,merkez,erkmen_cumhuriyet,4,1,160,4,4,5750000
afyonkarahisar-merkez-esentepe-satilik,afyonkarahisar,merkez,esentepe,2,1,120,21,3,2350000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,3,1,140,0,4,5200000
afyonkarahisar-merkez-hoca-ahmet-yesevi-satilik,afyonkarahisar,merkez,hoca_ahmet_yesevi,3,1,130,0,2,3700000
afyonkarahisar-merkez-beyazit-satilik,afyonkarahisar,merkez,beyazit,3,1,110,0,1,3200000
afyonkarahisar-merkez-battalgazi-satilik,afyonkarahisar,merkez,battalgazi,3,1,110,3,1,2700000
afyonkarahisar-sandikli-ece-satilik,afyonkarahisar,sandikli,ece,3,1,135,0,4,4350000
afyonkarahisar-merkez-sahipata-satilik,afyonkarahisar,merkez,sahipata,3,1,125,0,1,4025000
afyonkarahisar-merkez-taspinar-satilik,afyonkarahisar,merkez,taspinar,3,1,130,25,4,1525000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,3,1,110,33,-1,2050000
afyonkarahisar-ihsaniye-gazligol-yunus-emre-satilik,afyonkarahisar,ihsaniye,gazligol_yunus_emre,1,1,92,14,1,1450000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,2,1,100,0,1,3150000
afyonkarahisar-merkez-erkmen-hurriyet-satilik,afyonkarahisar,merkez,erkmen_hurriyet,2,1,100,0,2,3750000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,65,5,2,1620000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,4,1,137,0,3,5800000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,2,1,90,30,0,920000
afyonkarahisar-merkez-kocatepe-satilik,afyonkarahisar,merkez,kocatepe,3,1,120,21,1,3500000
afyonkarahisar-merkez-karsiyaka-satilik,afyonkarahisar,merkez,karsiyaka,3,1,185,0,2,5000000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,4,1,160,7,4,5250000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,4,1,145,0,3,4690000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,3,1,110,25,0,1650000
afyonkarahisar-merkez-nazmi-saatci-satilik,afyonkarahisar,merkez,nazmi_saatci,2,1,90,21,3,2550000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,75,0,1,3600000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,3,1,138,11,0,2700000
afyonkarahisar-merkez-esrefpasa-satilik,afyonkarahisar,merkez,esrefpasa,3,1,115,11,2,2890000
afyonkarahisar-merkez-kasimpasa-satilik,afyonkarahisar,merkez,kasimpasa,1,1,60,4,3,2000000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,2,1,95,26,3,2000000
afyonkarahisar-merkez-nazmi-saatci-satilik,afyonkarahisar,merkez,nazmi_saatci,3,1,135,26,4,2850000
afyonkarahisar-merkez-mecidiye-satilik,afyonkarahisar,merkez,mecidiye,4,1,145,20,3,2500000
afyonkarahisar-merkez-mecidiye-satilik,afyonkarahisar,merkez,mecidiye,3,1,115,26,3,2400000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,125,26,5,2400000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,4,1,160,0,2,6600000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,2,1,95,35,3,1750000
afyonkarahisar-merkez-burmali-satilik,afyonkarahisar,merkez,burmali,2,1,85,20,3,3100000
afyonkarahisar-merkez-karsiyaka-satilik,afyonkarahisar,merkez,karsiyaka,3,1,110,0,1,3500000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,100,0,3,4150000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,3,1,125,0,3,3800000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,140,31,3,2950000
afyonkarahisar-emirdag-yeni-satilik,afyonkarahisar,emirdag,yeni,2,1,115,0,5,1950000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,3,1,130,0,2,4200000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,2,1,105,10,1,2975000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,130,21,4,3190000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,2,1,97,0,3,3400000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,3,1,120,17,3,2600000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,3,1,125,28,4,1650000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,75,4,3,3950000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,2,1,97,0,3,3400000
afyonkarahisar-merkez-ornekevler-satilik,afyonkarahisar,merkez,ornekevler,2,1,95,30,3,1650000
afyonkarahisar-merkez-ali-cetinkaya-satilik,afyonkarahisar,merkez,ali_cetinkaya,2,1,73,0,2,3950000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,55,5,3,1350000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,100,0,1,4150000
afyonkarahisar-ihsaniye-yaylabagi-ataturk-satilik,afyonkarahisar,ihsaniye,yaylabagi_ataturk,1,1,70,3,3,1550000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,3,1,125,0,4,4500000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,55,5,4,1400000
afyonkarahisar-merkez-hoca-ahmet-yesevi-satilik,afyonkarahisar,merkez,hoca_ahmet_yesevi,2,1,90,11,4,1870000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,2,1,95,0,1,3150000
afyonkarahisar-ihsaniye-yaylabagi-esentepe-satilik,afyonkarahisar,ihsaniye,yaylabagi_esentepe,1,1,55,7,0,655000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,73,0,1,3650000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,4,1,175,5,1,5500000
afyonkarahisar-cay-elbiz-satilik,afyonkarahisar,cay,elbiz,3,1,115,16,2,1750000
afyonkarahisar-merkez-susuz-sakarya-satilik,afyonkarahisar,merkez,susuz_sakarya,2,1,110,11,1,2750000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,2,1,90,26,2,5400000
afyonkarahisar-merkez-guvenevler-satilik,afyonkarahisar,merkez,guvenevler,1,1,105,0,1,3950000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,4,1,165,5,3,5100000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,3,1,115,0,5,4300000
afyonkarahisar-merkez-erkmen-hurriyet-satilik,afyonkarahisar,merkez,erkmen_hurriyet,2,1,105,0,4,3500000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,2,1,100,12,1,2670000
afyonkarahisar-merkez-battalgazi-satilik,afyonkarahisar,merkez,battalgazi,3,1,110,2,3,3100000
afyonkarahisar-merkez-gazi-satilik,afyonkarahisar,merkez,gazi,2,1,60,0,2,2750000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,125,22,2,2550000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,105,0,3,4150000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,1,1,54,0,1,2800000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,2,1,105,3,1,2620000
afyonkarahisar-merkez-karsiyaka-satilik,afyonkarahisar,merkez,karsiyaka,3,1,120,0,2,3600000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,3,1,95,23,1,1925000
afyonkarahisar-merkez-sulun-hisar-satilik,afyonkarahisar,merkez,sulun_hisar,4,1,156,3,1,2750000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,3,1,113,23,1,2350000
afyonkarahisar-merkez-yenice-satilik,afyonkarahisar,merkez,yenice,3,1,116,11,1,3250000
